5,"The product final test and particularly the coverage level achieved by this test must be studied and defined with respect to the product Specification and Design.
This test must check the product according to procedures in the System Testability Manual:
- Appropriate treatment in case of a nonconformity.
- Recording and saving results for monitoring of tests.","Is there a final product test? Are nonconforming test results treated: at the product. at the
process? Are test results recorded?",6.6,3,"Final product tests are regularly reviewed. even after specification and design. The purpose is to increase the predefined test coverage. Documents describe the
procedure to be adopted.",13.2
7,"Procedures related to corrective actions include:
- Effective processing of customer complaints and product nonconformity reports.
- The search for the causes of nonconformity related to the product. the process and the quality system. and recording the results of this search.
- Determining corrective actions necessary to eliminate the causes of nonconformity.
- Application of all means to measure the effectiveness of the corrective action.",What process is used to collect technical events. to produce anomaly reports and measure increases in reliability? How are equipment changes managed?,15.4,4,"Procedures related to corrective actions include:
Effective processing of customer complaints and nonconformity reports on the product.
The search for causes of nonconformity related to the product. the process and the quality system and recording the results of this search.
Determination of corrective actions necessary to eliminate the causes of the nonconformity.
Application of control means to assure that the corrective action is implemented and that it produces the expected effect.",46.2
8,"Procedures related to preventive actions include:
- The use of appropriate information sources such a processes and operations affecting the product quality. waivers. audit results. quality records. maintenance reports and customer complaints. so as to detect. analyse and eliminate the potential causes of nonconformities.
- Determination of appropriate steps to deal with any problem requiring preventive action.
- Triggering of preventive actions and the applicat on of control means to make sure that they produce the expected effect.
- Assurance that relative information about actions implemented is submitted to the management review.","Do procedures related to preventive actions include:
- The use of appropriate information sources?
- Determination of appropriate steps?
- Triggering of preventive actions and application of control means?
- A management review of corrective actions?",15.6,4,Procedures for preventive actions do exist. they are formalised and are complete with regard to the mentioned criteria,46.8
17,"The subassembly varnishing activity. that must result in immunity to a number of stresses that can reduce the reliability of the subassembly. must be carried out with a permanent inspection particularly dealing with monitoring of the main parameters that are:
- The humidity rate.
- The temperature.
- The quality of varnish constituents.
- The thickness of the varnish deposit.
The varnish viscosity must also be checked at least daily.",Are inspection parameters monitored during the varnishing activity?,9.9,2,"The varnishing activity is monitored by supervision of a number of mentioned parameters at the stipulated frequency. but there is no formal documented monitoring
and no study indicating their criticality for reliability of the subassembly.",9.9
18,"Maintenance procedures related to corrective actions in production must include:
- Effective processing of complaints and subassembly nonconformity reports.
- The search for causes of nonconformity related to the process and recording of the results of
this search.
- Determination of corrective actions necessary to eliminate causes of nonconformity.
- Application of control means to assure that the corrective action is implemented and that it
produces the required effect.",Does corrective maintenance take place as soon as an anomaly appears on production means or produced subassemblies?,6.9,2,Corrective actions are made directly where the anomaly was observed. although a corrective maintenance plan was not set up.,6.9
19,"Based on the defined preventive maintenance plan and after its production. a correction is made by:
redefining production means references. replacement of consumables. replacement of worn and therefore potentially defective parts (probes and inspection tools).",Is preventive maintenance planned to correct drifts to production means parameters?,4,3,Real maintenance procedures are implemented for preventive actions. there is a formal preventive maintenance plan for them but it has not been validated by an authority independent from the operating entity.,8
21,"This verification is less complicated than a planned preventive maintenance action. and should be done by the user of the means (it forms part of the operator's training). Its purpose is to make sure that the operation will be done correctly and that it will provide the expected result (using the right loaded software or a correct configuration).
The frequency of the verifications (to be defined) may be systematic before each use or after a defined number of uses of the means.",Is there a periodic verification of programming means so that the software loading operation is done correctly?,4.1,1,There is no periodic verification of the programming means used to load software.,0
22,"This filter assures that the final test that forms the final verification milestone is carried out by a
competent person and particularly a person whose skills are monitored to assure that the most
recent requirements are taken into consideration.
The audit assures that the operator reviews control over procedures and critical points. to achieve
perfect confidence in execution of the final test.",Are the skills of final test operators systematically audited?,4.1,2,The equivalent of an audit is done to monitor the skills of operators performing the final product test. but it is not formally defined.,4.1
23,"It is important to perform the minimum number of manipulations of subassemblies during the production phase to limit risks of mechanical shocks and other overstresses.
Furthermore. the automation of manipulations between activities during the entire production provides a means of eliminating a large number of failures caused by human intervention.
This recommendation remains applicable to very small series",Are production and manipulation of subassemblies automated?,6.5,1,No manipulation of subassemblies is automated.,0
25,It is essential to specifically monitor and maintain (by updating) references coordinates. batch numbers. etc.) loaded in production tools. for the automation of tasks and for reliable execution of activities. ,Are data loaded in programmable production means managed?,2.8,3,A check and maintenance of data programmed in production means are done. in accordance with an identified formal definition (document. inspection procedure. update procedure).,5.6
33,"Delegation of the general inspection assures objectivity making it possible to better filter any errors that could have occurred during processes used for varnishing of subassemblies and critical for reliability.
Filling in the follower sheet enables traceability of all operations and actions that occurred during this varnishing.",Is the subassembly varnishing inspection done by someone other than the varnishing operator?,4.4,4,A person other than the varnishing operator makes a general inspection of this operation. This inspection is done according to a formalised procedure described in a document that has been validated by an authority independent from the operating entity.,13.2
